iter	RMSE
0	6572746.909
1	6110229.668
2	5729841.839
3	5398226.553
4	5067693.492
5	4761587.549
6	4500626.612
7	4280164.23
8	4078562.473
9	3901767.494
10	3741196.268
11	3598777.705
12	3454663.071
13	3320183.708
14	3231522.19
15	3152461.06
16	3079133.815
17	3023399.006
18	2960513.06
19	2886652.899
20	2832910.518
21	2768729.085
22	2731197.779
23	2681726.315
24	2645309.645
25	2614854.813
26	2573684.325
27	2533009.639
28	2508165.854
29	2481813.466
30	2448735.871
31	2434765.84
32	2416876.463
33	2382743.459
34	2366279.436
35	2352167.327
36	2326752.652
37	2306327.938
38	2294352.122
39	2284881.195
40	2268754.309
41	2251031.984
42	2242872.161
43	2228234.819
44	2212754.449
45	2204875.69
46	2195806.451
47	2188930.542
48	2180977.509
49	2173194.985
50	2168043.139
51	2154545.523
52	2142628.512
53	2137018.359
54	2120279.974
55	2114629.805
56	2109520.707
57	2090871.801
58	2079663.811
59	2071542.486
60	2066966.937
61	2061511.281
62	2058678.798
63	2054148.696
64	2043041.111
65	2039121.13
66	2033730.083
67	2030005.997
68	2022645.801
69	2018014.172
70	2012697.181
71	2008406.726
72	2004765.504
73	2001119.218
74	1996337.415
75	1989454
76	1985534.574
77	1983037.84
78	1978357.655
79	1975568.182
80	1974803.054
81	1973311.46
82	1970588.916
83	1965431.545
84	1963447.12
85	1958769.235
86	1953926.129
87	1951306.008
88	1947409.01
89	1942365.697
90	1936735.32
91	1930598.677
92	1923722.779
93	1917558.932
94	1912775.253
95	1909185.782
96	1903478.371
97	1899139.866
98	1896758.131
99	1893804.914
