iter	Passed	Remaining
0	7	758
1	14	697
2	19	625
3	24	578
4	28	542
5	32	512
6	36	485
7	40	462
8	43	442
9	47	425
10	50	404
11	52	387
12	55	372
13	58	360
14	61	348
15	64	338
16	67	328
17	70	319
18	72	310
19	75	303
20	78	295
21	81	288
22	84	281
23	86	275
24	89	269
25	92	264
26	95	258
27	98	253
28	101	247
29	103	242
30	106	237
31	109	233
32	112	228
33	115	223
34	118	219
35	120	215
36	124	211
37	127	208
38	130	204
39	133	200
40	136	196
41	139	192
42	142	188
43	144	184
44	147	180
45	150	176
46	153	173
47	156	169
48	159	165
49	161	161
50	164	158
51	167	154
52	170	150
53	172	147
54	175	143
55	178	140
56	181	136
57	184	133
58	187	130
59	190	126
60	192	123
61	195	119
62	198	116
63	201	113
64	203	109
65	206	106
66	209	103
67	212	99
68	214	96
69	217	93
70	220	90
71	223	86
72	225	83
73	228	80
74	231	77
75	234	73
76	237	70
77	239	67
78	242	64
79	245	61
80	247	58
81	250	54
82	253	51
83	255	48
84	258	45
85	261	42
86	263	39
87	266	36
88	269	33
89	271	30
90	274	27
91	277	24
92	280	21
93	282	18
94	285	15
95	288	12
96	291	9
97	294	6
98	296	2
99	299	0
